,day,size,250,out_250,500,out_500,1000,out_1000,2000,out_2000
0,2023-10-08 00:00:00,30,0.28886235425528856,3,0.20990937864326314,1,0.3935539484004808,0,0.07631259059145402,0
0,2023-10-07 00:00:00,30,0.19622335515860628,1,0.19457617543779876,0,0.3945734409969708,0,0.10011719938444665,0
0,2023-10-06 00:00:00,30,0.3301724488307791,1,0.4827075627178285,2,0.5537329681086214,0,0.4210864417599453,0
0,2023-10-05 00:00:00,30,0.33395464017591825,0,0.4275011212795733,0,0.5222608378587595,0,0.4442591590528248,2
0,2023-10-04 00:00:00,30,0.3256273073229456,0,0.35625776350173627,0,0.48180804943678246,0,0.30923381628908125,0
0,2023-10-03 00:00:00,30,0.35500090987975746,0,0.4594858230582393,0,0.6197090188823384,0,0.46500811999580566,0
0,2023-10-02 00:00:00,30,0.29089854757484324,0,0.47500959328230463,0,0.59217093537695,1,0.43782440787951515,3
0,2023-10-01 00:00:00,30,0.30007380092130154,0,0.38466855835905417,1,0.5454457779554333,0,0.38621608892835685,0
0,2023-09-30 00:00:00,30,0.331920554819536,1,0.5072437517985086,1,0.5277176177517389,0,0.3853486006122559,1
0,2023-09-29 00:00:00,30,0.23992115690909743,0,0.26427091053778756,0,0.4640498243887788,0,0.14741235764002772,0
0,2023-09-28 00:00:00,30,0.2455761274827057,0,0.32948206163353294,1,0.5222973757784259,1,0.416195636729014,0
0,2023-09-27 00:00:00,30,0.3354616821097725,0,0.44957663095650424,1,0.5465854765512765,0,0.3736724075676989,0
0,2023-09-26 00:00:00,30,0.3286293611978237,0,0.3973133652124859,0,0.6309473623555779,1,0.43831278412454105,0
0,2023-09-25 00:00:00,30,0.286328687937047,0,0.4778552388169453,1,0.46969708392247145,0,0.31003934136712114,0
0,2023-09-24 00:00:00,30,0.3120166979975089,0,0.4434123419758491,2,0.4173660279505962,1,0.29208708527040333,1
0,2023-09-23 00:00:00,30,0.29579460414242337,0,0.4996114070879389,1,0.47921035626687114,0,0.3563805198034609,0
0,2023-09-22 00:00:00,30,0.30848250024573803,0,0.3308465224254632,0,0.4199144223524203,0,0.19071953453171583,0
0,2023-09-21 00:00:00,30,0.3833014632000754,0,0.4965081472734745,0,0.5116735616587094,3,0.34387333114438806,0
0,2023-09-20 00:00:00,30,0.20076739373630126,0,0.33935552250514484,0,0.5297508375753606,0,0.43602987344734284,0
0,2023-09-19 00:00:00,30,0.3924304127221172,0,0.44414625156709947,1,0.6681391496564018,1,0.500371670007181,1
0,2023-09-18 00:00:00,30,0.2848640458387635,0,0.23673511010627493,0,0.40708760432317165,0,0.11650162885047347,0
0,2023-09-17 00:00:00,30,0.2848640458387635,0,0.23673511010627493,0,0.40708760432317165,0,0.11650162885047347,0
0,2023-09-16 00:00:00,30,0.2848640458387635,0,0.23673511010627493,0,0.40708760432317165,0,0.11650162885047347,0
0,2023-09-15 00:00:00,30,0.2848640458387635,0,0.23673511010627493,0,0.40708760432317165,0,0.11650162885047347,0
0,2023-09-14 00:00:00,30,0.2848640458387635,0,0.23673511010627493,0,0.40708760432317165,0,0.11650162885047347,0
0,2023-09-13 00:00:00,30,0.2098651070788223,0,0.29458482244947737,0,0.46246349836937783,0,0.3944251673935742,1
0,2023-09-12 00:00:00,30,0.20881646343173926,1,0.3212394728005141,0,0.5524595442397489,0,0.33608799304798187,1
